#{"t_start": 1589058354.668272, "env_id": null}
r,l,t
9,20,104.235216
7,22,104.532011
7,20,104.828224
9,20,105.123466
8,21,105.424067
9,20,105.723985
9,20,106.018382
7,22,106.323463
8,21,106.619238
9,20,106.916158
9,20,107.209347
8,21,107.5081
8,21,107.803896
7,22,108.104234
9,20,108.399456
9,20,108.694601
8,21,108.997811
9,20,109.292206
9,20,109.59052
9,20,109.887278
9,20,110.182107
7,20,110.458124
8,21,110.754099
9,20,111.048939
9,20,111.346363
7,18,111.60687
8,21,111.904035
9,20,112.19806
9,20,112.494317
9,20,112.794384
9,20,113.089503
9,20,113.385606
7,22,113.682083
9,20,113.977986
9,20,114.271917
9,20,114.56581
9,20,114.860407
8,21,115.160002
8,21,115.456927
9,20,115.754112
9,20,116.050571
7,20,116.330322
9,20,116.625616
9,20,116.920446
9,20,117.216299
8,21,117.518501
9,20,117.817067
6,19,118.093723
8,19,118.373928
8,21,118.672172
9,20,118.968503
8,19,119.247492
9,20,119.541475
9,20,119.837455
7,20,120.122948
9,20,120.4192
9,20,120.713794
8,21,121.009918
9,20,121.31141
9,20,121.615271
9,20,121.912648
8,19,122.191244
8,21,122.493396
9,20,122.787933
7,22,123.083304
8,21,123.38079
9,20,123.680284
6,19,123.945527
7,22,124.247932
8,19,124.523292
9,20,124.819155
9,20,125.115558
9,20,125.412193
9,20,125.710081
9,20,126.007517
8,19,126.280105
9,20,126.57603
8,21,126.872515
7,22,127.186961
8,21,127.484931
9,20,127.777805
9,20,128.073542
9,20,128.368937
9,20,128.663753
9,20,128.960004
9,20,129.254002
9,20,129.548676
8,19,129.827792
9,20,130.121137
6,21,130.40271
9,20,130.699052
8,21,130.995529
-1,10,131.121788
8,21,131.420845
8,21,131.72068
9,20,132.017366
5,16,132.237229
9,20,132.536459
8,21,132.830924
8,21,133.131895
8,21,133.437415
9,20,133.732893
7,22,134.03441
9,20,134.330983
9,20,134.643531
9,20,134.940797
9,20,135.23986
9,20,135.536651
9,20,135.833123
9,20,136.130168
8,21,136.429141
9,20,136.723107
9,20,137.020487
9,20,137.315195
9,20,137.611826
8,21,137.909218
9,20,138.205821
9,20,138.501492
7,20,138.77581
4,15,138.975952
8,19,139.256198
9,20,139.552802
9,20,139.84928
6,17,140.086596
9,20,140.381935
8,21,140.6826
9,20,140.976061
9,20,141.272358
9,20,141.567277
9,20,141.875769
9,20,142.176154
9,20,142.476362
7,22,142.779667
9,20,143.082608
9,20,143.382208
9,20,143.676297
9,20,143.971507
9,20,144.266371
5,18,144.506762
9,20,144.802734
8,21,145.098446
8,21,145.393322
8,21,145.689036
9,20,145.984148
8,19,146.261132
9,20,146.558885
6,23,146.867847
5,22,147.169037
9,20,147.466784
9,20,147.762383
8,21,148.058639
8,21,148.356749
7,20,148.651263
9,20,148.945932
9,20,149.247451
9,20,149.556572
8,21,149.86913
8,21,150.166941
9,20,150.461432
3,18,150.713754
8,19,150.9914
7,22,151.294207
9,20,151.593224
9,20,151.888827
8,19,152.16034
9,20,152.464988
9,20,152.763534
8,21,153.065997
9,20,153.36286
9,20,153.658281
9,20,153.954584
8,21,154.251089
9,20,154.547904
9,20,154.851102
9,20,155.148102
9,20,155.441561
9,20,155.738953
9,20,156.035003
9,20,156.334924
9,20,156.630332
9,20,156.926286
-2,9,157.039985
9,20,157.335293
3,16,157.555482
7,18,157.806107
6,21,158.093495
4,19,158.355853
7,20,158.639051
5,18,158.901269
5,18,159.165206
7,20,159.444703
5,18,159.704184
5,18,159.969955
5,18,160.228064
5,18,160.476844
6,17,160.722855
5,18,160.971023
5,18,161.236073
-1,10,161.367244
-6,23,161.585017
3,18,161.840424
-2,9,161.954522
-1,12,162.114066
5,18,162.377652
6,17,162.622274
5,18,162.871325
6,17,163.115073
-6,5,163.179607
2,13,163.354851
4,15,163.570269
4,17,163.79262
-3,8,163.888332
5,18,164.148083
3,18,164.39496
5,18,164.640586
5,18,164.889944
4,15,165.10155
4,17,165.327078
2,13,165.501581
2,15,165.697479
4,15,165.910813
4,15,166.124019
4,15,166.338114
3,16,166.565911
4,15,166.779071
5,16,166.999756
5,16,167.225174
4,15,167.439028
4,17,167.660221
5,16,167.884034
6,17,168.120698
5,16,168.342158
5,16,168.56508
5,16,168.78733
5,16,169.008561
6,17,169.258317
6,17,169.507192
6,17,169.756771
6,17,170.000395
6,17,170.244902
1,16,170.484527
6,17,170.729409
3,16,170.928444
5,16,171.151759
6,17,171.402632
6,17,171.645973
6,17,171.89504
6,17,172.140427
3,16,172.345288
6,17,172.593262
5,20,172.857339
7,18,173.117756
6,17,173.378929
5,18,173.631642
4,19,173.908157
6,17,174.164055
6,17,174.414366
6,17,174.675176
6,17,175.001649
6,17,175.281427
-3,8,175.402157
6,17,175.654672
6,17,175.900055
5,18,176.182619
5,18,176.435633
6,17,176.681866
6,17,176.929474
-2,9,177.048873
6,19,177.327169
7,18,177.597195
5,18,177.84009
5,20,178.105824
5,18,178.353121
7,18,178.610702
6,19,178.874853
7,20,179.154528
-2,9,179.268794
8,19,179.551014
6,19,179.813894
8,19,180.090531
8,19,180.370511
8,19,180.651244
8,19,180.930793
7,20,181.212125
8,19,181.493579
6,21,181.782544
8,19,182.064085
8,19,182.341395
8,19,182.630399
8,19,182.911221
8,19,183.190009
8,19,183.472286
6,19,183.7477
8,19,184.028148
8,19,184.30833
8,19,184.591112
7,20,184.877206
7,20,185.159779
6,21,185.443667
7,18,185.706407
8,19,185.983527
9,20,186.276434
8,19,186.557727
7,20,186.858338
8,19,187.140509
7,20,187.435252
7,20,187.715949
8,19,187.997763
8,19,188.276694
8,19,188.553566
7,20,188.83553
8,19,189.115359
8,19,189.397304
8,21,189.69269
8,19,189.974479
8,19,190.253438
8,19,190.532587
7,20,190.814969
7,20,191.09743
8,19,191.366497
5,20,191.652753
8,19,191.93784
8,19,192.22168
