#{"t_start": 1589052117.7249138, "env_id": null}
r,l,t
32,51,296.613045
32,51,297.457098
29,51,298.287518
31,51,299.122425
32,51,299.963881
29,51,300.79385
32,51,301.63931
32,51,302.483827
29,51,303.309117
32,51,304.149177
29,51,304.977261
32,51,305.816715
29,51,306.640645
32,51,307.478455
29,51,308.328474
32,51,309.172345
32,51,310.010813
29,51,310.810583
32,51,311.674643
26,51,312.45403
32,51,313.296177
32,51,314.136111
32,51,314.975688
32,51,315.814849
29,51,316.626267
29,51,317.443616
29,51,318.269102
-4,7,318.354393
29,51,319.191617
32,51,320.033823
32,51,320.874838
29,51,321.69794
27,51,322.525594
32,51,323.383118
29,51,324.214124
32,51,325.06054
32,51,325.934263
32,51,326.772223
29,51,327.601393
32,51,328.461063
29,51,329.26636
29,51,330.093984
32,51,330.934711
32,51,331.771665
29,51,332.600551
32,51,333.440672
32,51,334.283883
29,51,335.101279
32,51,335.942497
32,51,336.789473
32,51,337.630543
32,51,338.476648
29,51,339.301264
32,51,340.137804
29,51,340.978055
29,51,341.800117
32,51,342.650203
32,51,343.492783
32,51,344.329055
32,51,345.171065
32,51,346.01223
32,51,346.859053
32,51,347.694902
32,51,348.53697
32,51,349.380699
32,51,350.217285
32,51,351.056717
32,51,351.894555
32,51,352.733478
32,51,353.576933
26,51,354.368748
29,51,355.196564
32,51,356.036221
29,51,356.862249
32,51,357.706693
29,51,358.533802
29,51,359.363862
26,51,360.15776
29,51,360.966394
32,51,361.808403
29,51,362.632112
32,51,363.477989
31,51,364.308215
29,51,365.137089
32,51,365.989136
29,51,366.787942
32,51,367.627264
29,51,368.462117
32,51,369.309117
29,51,370.141352
29,51,370.968585
29,51,371.795574
29,51,372.620588
32,51,373.460774
29,51,374.291218
32,51,375.137319
32,51,375.979429
32,51,376.817734
29,51,377.644234
27,51,378.473485
30,51,379.332725
29,51,380.187018
29,51,381.009619
32,51,381.840471
32,51,382.682484
30,51,383.528844
29,51,384.354024
32,51,385.193274
29,51,386.005489
32,51,386.85088
32,51,387.694093
29,51,388.515379
29,51,389.342165
29,51,390.146819
31,51,390.918772
29,51,391.740412
32,51,392.574269
29,51,393.384117
32,51,394.220564
32,51,395.055689
30,51,395.798333
29,51,396.553401
29,51,397.359184
32,51,398.193194
30,51,399.029785
32,51,399.865032
32,51,400.70415
26,51,401.499499
29,51,402.327629
32,51,403.190673
32,51,404.030815
29,51,404.8432
32,51,405.67822
29,51,406.502952
32,51,407.349792
29,51,408.17042
32,51,409.010982
32,51,409.866205
32,51,410.738714
29,51,411.603367
32,51,412.476729
32,51,413.326727
32,51,414.133351
29,51,414.952644
32,51,415.801143
32,51,416.683993
29,51,417.561711
29,51,418.388271
32,51,419.250128
32,51,420.092287
32,51,420.935442
32,51,421.765463
32,51,422.602753
32,51,423.445808
32,51,424.282244
27,51,424.993976
30,51,425.732905
30,51,426.58241
32,51,427.423757
29,51,428.254075
30,51,429.120843
32,51,429.972277
32,51,430.810063
30,51,431.640911
29,51,432.465032
29,51,433.318298
32,51,434.155504
29,51,434.979376
30,51,435.818104
30,51,436.672749
30,51,437.515403
32,51,438.356818
29,51,439.184425
30,51,440.030431
30,51,440.860449
32,51,441.702947
32,51,442.545805
32,51,443.384757
32,51,444.224389
32,51,445.072101
32,51,445.9268
29,51,446.749806
29,51,447.559978
32,51,448.401505
29,51,449.196902
32,51,450.035334
32,51,450.87683
29,51,451.702679
32,51,452.543281
29,51,453.375318
32,51,454.213529
29,51,455.029197
28,51,455.8521
29,51,456.67375
32,51,457.51302
32,51,458.370985
32,51,459.213611
29,51,460.039631
32,51,460.881255
32,51,461.719877
32,51,462.579695
32,51,463.443522
32,51,464.28086
32,51,465.118368
29,51,465.939059
29,51,466.764127
32,51,467.535264
32,51,468.376473
32,51,469.225196
32,51,470.056122
26,51,470.815808
32,51,471.666841
29,51,472.493135
32,51,473.328694
32,51,474.174496
29,51,475.007378
29,51,475.815471
29,51,476.651006
29,51,477.478347
32,51,478.323971
32,51,479.164579
29,51,479.996674
32,51,480.831019
29,51,481.655704
32,51,482.494208
32,51,483.330243
29,51,484.154033
29,51,484.972695
32,51,485.791752
29,51,486.601761
32,51,487.435107
32,51,488.277067
32,51,489.114059
29,51,489.941435
32,51,490.786242
32,51,491.616084
29,51,492.438101
32,51,493.282814
30,51,494.131559
29,51,494.974585
32,51,495.81824
32,51,496.658182
27,51,497.370212
29,51,498.176512
28,51,498.930446
