#{"t_start": 1580417242.5890837, "env_id": null}
r,l,t
-4,5,47.82581
-1,2,47.902578
1,4,48.003742
-1,8,48.137527
-3,4,48.208576
-2,3,48.26596
-2,7,48.376318
0,9,48.532892
-1,14,48.777063
-1,6,48.868104
-1,20,49.183323
0,13,49.405864
2,7,49.5154
-1,14,49.734356
-2,7,49.873704
0,3,49.94082
0,5,50.02906
0,9,50.227847
-1,8,50.452593
-2,15,50.737272
6,13,51.024815
-1,12,51.185124
3,8,51.32445
-1,4,51.389613
-6,15,51.58393
2,9,51.741727
2,9,51.882809
0,11,52.072453
-1,16,52.275628
1,4,52.353845
-4,5,52.446423
-1,8,52.5668
-4,15,52.746097
0,3,52.802689
0,7,52.900539
1,10,53.084863
-1,10,53.229629
0,9,53.368692
2,13,53.560837
2,5,53.649706
1,8,53.766123
