#{"t_start": 1589060272.3949819, "env_id": null}
r,l,t
-19,6,260.441666
-19,4,260.498488
-17,12,262.346439
-19,10,264.197398
-21,8,264.29362
-22,9,264.380677
-17,10,266.219044
-15,14,268.110002
-24,17,268.270625
-17,8,270.043785
-16,13,271.85694
-24,15,272.009777
-19,10,273.835719
-21,6,273.901268
-19,8,273.977571
-18,13,275.812368
-19,2,275.842087
-17,4,275.889749
-17,10,277.730861
-17,6,277.789502
-17,6,279.547533
-19,8,279.63884
-15,12,281.477538
-18,7,281.548835
-22,11,281.662853
-17,6,283.430479
-18,11,283.553336
-23,12,285.329312
-15,12,285.451284
-21,18,287.303983
-17,6,289.097531
-18,5,289.158181
-20,7,289.236808
-19,12,291.08192
-21,8,291.167367
-20,11,293.002792
-15,12,293.110787
-19,4,294.863047
-16,5,294.923429
-17,4,294.973961
-17,6,295.043019
-19,8,296.851805
-22,15,298.644721
-18,11,298.764967
-21,16,300.596319
-20,5,300.656892
-18,11,302.465386
-20,9,302.551963
-17,6,302.618092
-21,18,304.48893
-16,9,306.310802
-22,11,306.41773
-19,8,308.209026
-17,8,308.299762
-14,9,310.137909
-19,4,310.189236
-22,9,310.271212
-14,7,312.023294
-17,8,312.093689
-16,7,312.172075
-20,11,313.998663
-17,10,314.086733
-22,13,315.92175
-19,12,317.754495
-19,12,317.866707
-18,11,319.702668
-19,10,319.795217
-18,9,321.555149
-18,9,321.643256
-20,9,323.435113
-20,11,323.538123
-19,4,323.586604
-17,12,325.419658
-20,9,325.499666
-23,12,327.361947
-17,10,329.229873
-18,19,329.410767
-19,8,331.245781
-20,5,331.301957
-22,7,331.369361
-20,11,333.199925
-17,10,334.983293
-13,12,335.103225
-19,6,335.168161
-17,8,336.939746
-19,4,336.990051
-18,13,338.827348
-16,15,338.95662
-21,16,340.838555
-18,3,340.87728
-13,12,342.754186
-16,11,344.621866
-19,10,344.730111
-15,8,344.82157
-20,3,346.702314
-17,8,346.787776
-17,10,346.890539
-19,8,348.719648
-20,7,348.807153
-19,2,348.837454
-19,6,350.631926
-22,13,350.75138
-16,7,352.542484
-19,8,352.602092
-19,12,354.407931
-17,12,354.542266
-20,7,356.316958
-25,16,356.48779
-23,20,358.366379
-18,7,360.159267
-18,7,360.238541
-18,3,360.276881
-18,9,362.095593
-18,9,362.193244
-17,6,362.258963
-17,12,364.091589
